Date,Open,High,Low,Close,Adj Close,Volume,,logreturn
8/24/2017,117.260002,117.300003,116.029999,116.220001,114.617195,4760000,,-0.00138484
8/25/2017,116.739998,116.900002,115.800003,115.849998,114.252296,3442500,,-0.001163676
8/28/2017,116.120003,116.290001,115.080002,115.540001,113.946571,2932700,,0.001126179
8/29/2017,115.550003,116.099998,115.510002,115.839996,114.242432,2348700,,0.000433962
8/30/2017,115.129997,115.419998,114.910004,115.150002,114.356644,2491800,,0.002182011
8/31/2017,115.239998,115.839996,114.93,115.730003,114.932648,4709500,,0.000412576
9/1/2017,115.379997,116.089996,115.150002,115.839996,115.041885,2591900,,0.000112487
9/5/2017,115.949997,116.059998,115.410004,115.870003,115.071686,2711400,,0.001795377
9/6/2017,116.169998,116.470001,115.639999,116.349998,115.548378,2617500,,0.002382351
9/7/2017,116.650002,117.290001,116.389999,116.989998,116.183968,2623800,,-0.007299857
9/8/2017,116.400002,116.480003,114.57,115.040001,114.247406,4818300,,0.002446953
9/11/2017,115.080002,115.889999,114.760002,115.690002,114.892929,3247900,,-0.002597992
9/12/2017,115.690002,115.949997,114.860001,115,114.20768,2998500,,-0.002082075
9/13/2017,114.870003,115.169998,114,114.449997,113.661461,5141500,,-0.000987699
9/14/2017,114.440002,114.550003,113.699997,114.190002,113.403259,3456900,,0.002502912
9/15/2017,114.739998,114.980003,114.110001,114.849998,114.058708,5543000,,0.000529084
9/18/2017,115.169998,115.230003,114.68,114.989998,114.197746,2441200,,-0.001892533
9/19/2017,115.059998,115.120003,114.360001,114.489998,113.701187,2568300,,-0.003465671
9/20/2017,114.339996,114.650002,112.739998,113.580002,112.797462,4059800,,-0.002992769
9/21/2017,113.209999,113.82,112.540001,112.800003,112.022835,3630900,,-0.003673128
9/22/2017,112.559998,112.870003,111.809998,111.849998,111.079376,3746300,,0.000349338
9/25/2017,112.040001,112.139999,111.419998,111.940002,111.168762,3885000,,-0.000504685
9/26/2017,112.230003,112.300003,111.730003,111.809998,111.03965,2953800,,-0.00276656
9/27/2017,111.720001,111.879997,110.339996,111.099998,110.334549,4016200,,0.002105763
9/28/2017,111.370003,112.730003,111.190002,111.639999,110.870827,11581100,,-0.000817685
9/29/2017,111.870003,112.029999,111.209999,111.43,110.662277,5122300,,-0.009097762
10/2/2017,109.910004,110.519997,108.959999,109.120003,108.368195,8306400,,3.98E-05
10/3/2017,109.419998,109.650002,108.889999,109.129997,108.37812,6064400,,0.000834902
